home_team,away_team,home_odds,draw_odds,away_odds,date,rating_diff
Crystal Palace,Arsenal,4.9,3.75,1.9,2022-08-05,-164.300868856309
Everton,Chelsea,7.4,4.3,1.58,2022-08-06,-264.3813673434346
Fulham,Liverpool,11.5,7.0,1.29,2022-08-06,-415.14851613649233
Leeds,Wolves,2.48,3.5,3.2,2022-08-06,45.44720563185546
Newcastle,Nottm Forest,1.58,4.4,7.2,2022-08-06,264.0898343173223
Tottenham,Southampton,1.4,5.6,9.0,2022-08-06,344.7892121181505
Bournemouth,Aston Villa,4.4,3.6,2.04,2022-08-06,-132.269813950086
Man Utd,Brighton,1.79,3.95,5.1,2022-08-07,188.80906783989076
Leicester,Brentford,1.98,3.85,4.2,2022-08-07,137.92648954966043
West Ham,Man City,8.6,5.5,1.42,2022-08-07,-334.33557300286174
Aston Villa,Everton,1.8,3.7,5.7,2022-08-13,192.92792548136435
Wolves,Fulham,2.26,3.55,3.65,2022-08-13,84.63088780539923
Southampton,Leeds,2.5,3.75,3.05,2022-08-13,36.938638472904564
Man City,Bournemouth,1.09,17.0,50.0,2022-08-13,653.0860645169815
Arsenal,Leicester,1.61,4.4,6.4,2022-08-13,249.3412434983746
Brighton,Newcastle,2.56,3.4,3.2,2022-08-13,38.65037623010305
Brentford,Man Utd,4.8,4.2,1.82,2022-08-13,-180.3899269958619
Nottm Forest,West Ham,4.2,3.75,2.02,2022-08-14,-131.41954662972978
Chelsea,Tottenham,2.2,3.6,3.7,2022-08-14,93.17073754426323
Liverpool,Crystal Palace,1.3,6.6,13.5,2022-08-15,411.8641506192416
Everton,Nottm Forest,1.9,3.8,4.8,2022-08-20,162.94632504335854
Leicester,Southampton,1.76,4.5,5.0,2022-08-20,198.23145082630657
Tottenham,Wolves,1.48,5.0,7.8,2022-08-20,303.94767431843877
Bournemouth,Arsenal,8.6,5.1,1.45,2022-08-20,-319.62439448222034
Fulham,Brentford,2.74,3.55,2.86,2022-08-20,7.697483884641036
Crystal Palace,Aston Villa,2.62,3.25,3.25,2022-08-20,35.97838707066936
Newcastle,Man City,6.8,5.2,1.51,2022-08-21,-289.0360015974407
Leeds,Chelsea,6.8,5.0,1.55,2022-08-21,-275.42335663519265
West Ham,Brighton,2.66,3.5,3.0,2022-08-21,21.29172470513358
Man Utd,Liverpool,4.8,4.5,1.74,2022-08-22,-198.60873622648091
Chelsea,Leicester,1.42,5.4,9.0,2022-08-27,335.3701233456791
Man City,Crystal Palace,1.21,8.6,18.0,2022-08-27,485.9028649437338
Brentford,Everton,2.06,3.6,4.1,2022-08-27,122.1978157136341
Southampton,Man Utd,3.9,4.0,2.04,2022-08-27,-122.13628856449027
Liverpool,Bournemouth,1.16,10.5,24.0,2022-08-27,540.4050850314458
Brighton,Leeds,1.79,4.0,5.3,2022-08-27,192.52554340627464
Arsenal,Fulham,1.44,5.5,8.2,2022-08-27,324.9961155655805
Aston Villa,West Ham,2.18,3.6,3.9,2022-08-28,101.82111806283993
Wolves,Newcastle,2.7,3.35,3.05,2022-08-28,20.909965273023495
Nottm Forest,Tottenham,7.6,5.0,1.51,2022-08-28,-293.3833295540139
Fulham,Brighton,3.45,3.3,2.4,2022-08-30,-62.32056567646211
Southampton,Chelsea,5.6,4.3,1.73,2022-08-30,-211.74919803274946
Leeds,Everton,2.18,3.8,3.65,2022-08-30,94.93004800918176
Crystal Palace,Brentford,2.2,3.55,3.7,2022-08-30,92.85638591953722
West Ham,Tottenham,3.4,3.55,2.36,2022-08-31,-65.17868703313088
Liverpool,Newcastle,1.29,6.8,12.0,2022-08-31,414.848206273884
Bournemouth,Wolves,3.4,3.35,2.46,2022-08-31,-55.31509869439867
Arsenal,Aston Villa,1.56,4.6,7.2,2022-08-31,271.7372752085859
Man City,Nottm Forest,1.1,15.5,32.0,2022-08-31,628.2549337909691
Leicester,Man Utd,3.5,3.9,2.2,2022-09-01,-87.59535613189382
Aston Villa,Man City,11.5,6.2,1.33,2022-09-03,-389.03072366891627
Wolves,Southampton,2.22,3.55,3.9,2022-09-03,97.00683737192321
Tottenham,Fulham,1.57,4.6,7.0,2022-09-03,267.42856815074583
Everton,Liverpool,8.6,5.7,1.4,2022-09-03,-343.71476267697983
Newcastle,Crystal Palace,2.1,3.55,3.75,2022-09-03,106.346702436735
Chelsea,West Ham,1.7,4.1,5.9,2022-09-03,219.7196452273531
Brentford,Leeds,2.2,3.65,3.7,2022-09-03,93.47850475641452
Nottm Forest,Bournemouth,2.24,3.35,3.8,2022-09-03,90.44613877370762
Man Utd,Arsenal,2.76,3.55,2.78,2022-09-04,1.3145043995590626
Brighton,Leicester,2.0,3.65,4.5,2022-09-04,140.4298192526565
Aston Villa,Southampton,2.16,3.65,3.85,2022-09-16,102.95317688700963
Nottm Forest,Fulham,2.78,3.65,2.74,2022-09-16,-2.669145115446048
Newcastle,Bournemouth,1.42,5.8,8.2,2022-09-17,335.00460194857624
Wolves,Man City,10.5,6.0,1.38,2022-09-17,-362.9008305272903
Tottenham,Leicester,1.54,4.8,7.0,2022-09-17,277.8629113073362
Brentford,Arsenal,4.8,4.0,1.84,2022-09-18,-174.9419188115626
Everton,West Ham,3.0,3.45,2.64,2022-09-18,-22.661657991622928
Liverpool,Brighton,1.51,5.0,7.6,2022-10-01,293.3833285249987
Southampton,Everton,2.42,3.4,3.45,2022-10-01,61.00133460178571
Crystal Palace,Chelsea,5.1,4.1,1.77,2022-10-01,-194.17003422718122
West Ham,Wolves,2.06,3.55,4.2,2022-10-01,124.3866443234021
Fulham,Newcastle,3.1,3.65,2.5,2022-10-01,-39.300359296543824
Bournemouth,Brentford,3.4,3.65,2.34,2022-10-01,-67.55165454916538
Arsenal,Tottenham,2.04,3.9,4.0,2022-10-01,124.3984615612267
Leeds,Aston Villa,2.42,3.55,3.2,2022-10-02,50.844344925172784
Man City,Man Utd,1.45,5.9,7.0,2022-10-02,316.6408447019656
Leicester,Nottm Forest,1.74,4.3,5.3,2022-10-03,205.34528497465917
Bournemouth,Leicester,3.5,3.7,2.24,2022-10-08,-82.0906870016489
Brighton,Tottenham,2.66,3.5,2.98,2022-10-08,20.193406214809126
Chelsea,Wolves,1.53,4.6,7.6,2022-10-08,283.01187169313675
Man City,Southampton,1.12,13.0,30.0,2022-10-08,593.9073834236021
Newcastle,Brentford,1.7,4.4,5.3,2022-10-08,214.74397493541224
West Ham,Fulham,1.67,4.2,6.2,2022-10-09,230.8463699951592
Arsenal,Liverpool,2.6,3.8,2.78,2022-10-09,12.890213471136907
Crystal Palace,Leeds,2.1,3.65,3.85,2022-10-09,110.25097135181872
Everton,Man Utd,3.85,3.65,2.12,2022-10-09,-107.76389267067208
Nottm Forest,Aston Villa,3.95,3.8,2.08,2022-10-10,-116.89759893525562
Brentford,Brighton,3.4,3.5,2.42,2022-10-14,-59.4286159199769
Tottenham,Everton,1.48,5.1,7.8,2022-10-15,305.05087830681265
Fulham,Bournemouth,2.0,3.8,4.2,2022-10-15,134.6338744620686
